dt,day,hour,minute,tag,in_worker,out_worker,in_pollen,out_pollen,in_drone,out_drone
2025-11-07 12:21:11,7,12,21,TX2_6,5,5,0,0,0,0
2025-11-07 12:26:11,7,12,26,TX2_6,4,4,0,0,0,0
2025-11-07 12:36:04,7,12,36,TX2_6,8,1,0,0,0,0
2025-11-07 12:41:04,7,12,41,TX2_6,6,3,0,0,0,0
2025-11-07 12:46:04,7,12,46,TX2_6,4,1,0,0,0,0
2025-11-07 12:51:04,7,12,51,TX2_6,2,1,0,0,0,0
2025-11-07 12:56:04,7,12,56,TX2_6,1,0,0,0,0,0
2025-11-07 13:01:04,7,13,1,TX2_6,2,1,0,0,0,0
2025-11-07 13:06:04,7,13,6,TX2_6,5,2,0,0,0,0
2025-11-07 13:11:04,7,13,11,TX2_6,3,0,0,0,0,0
2025-11-07 13:16:04,7,13,16,TX2_6,5,0,0,0,0,0
2025-11-07 13:21:04,7,13,21,TX2_6,5,0,0,0,0,0
2025-11-07 13:26:04,7,13,26,TX2_6,4,2,0,0,0,0
2025-11-07 13:31:05,7,13,31,TX2_6,3,3,0,0,0,0
2025-11-07 13:36:05,7,13,36,TX2_6,3,4,0,0,0,0
2025-11-07 13:41:05,7,13,41,TX2_6,1,3,0,0,0,0
2025-11-07 13:46:05,7,13,46,TX2_6,3,3,0,0,0,0
2025-11-07 13:51:05,7,13,51,TX2_6,4,2,0,0,0,0
2025-11-07 13:56:05,7,13,56,TX2_6,3,2,0,0,0,0
2025-11-07 14:01:05,7,14,1,TX2_6,4,4,0,0,0,0
2025-11-07 14:06:05,7,14,6,TX2_6,2,6,0,0,0,0
2025-11-07 14:11:05,7,14,11,TX2_6,3,4,0,0,0,0
2025-11-07 14:16:05,7,14,16,TX2_6,4,2,0,0,0,0
2025-11-07 14:21:05,7,14,21,TX2_6,2,4,0,0,0,0
2025-11-07 14:26:05,7,14,26,TX2_6,4,7,0,0,0,0
2025-11-24 23:24:18,24,23,24,TX2_6,3,1,0,0,0,0
2025-11-24 23:29:19,24,23,29,TX2_6,3,1,0,0,0,0
2025-11-24 23:34:19,24,23,34,TX2_6,3,0,0,1,0,0
2025-11-24 23:39:19,24,23,39,TX2_6,3,1,0,0,0,0
2025-11-24 23:44:19,24,23,44,TX2_6,3,1,0,0,0,0
2025-11-24 23:49:19,24,23,49,TX2_6,6,1,0,0,0,0
2025-11-24 23:54:19,24,23,54,TX2_6,3,1,0,0,0,0
2025-11-24 23:59:19,24,23,59,TX2_6,3,1,0,0,0,0
2025-11-25 00:04:19,25,0,4,TX2_6,3,1,0,0,0,0
2025-11-25 00:09:19,25,0,9,TX2_6,3,1,0,0,0,0
2025-11-25 00:14:19,25,0,14,TX2_6,3,0,0,1,0,0
2025-11-25 00:19:19,25,0,19,TX2_6,3,1,0,0,0,0
2025-11-25 00:24:19,25,0,24,TX2_6,3,1,0,0,0,0
2025-11-25 00:29:19,25,0,29,TX2_6,3,1,0,0,0,0
2025-11-25 00:34:19,25,0,34,TX2_6,3,1,0,0,0,0
2025-11-25 00:39:19,25,0,39,TX2_6,3,1,0,0,0,0
2025-11-25 00:44:19,25,0,44,TX2_6,3,1,0,0,0,0
2025-11-25 00:49:19,25,0,49,TX2_6,4,1,0,0,0,0
2025-11-25 00:54:19,25,0,54,TX2_6,3,1,0,0,0,0
2025-11-25 00:59:19,25,0,59,TX2_6,3,1,0,0,0,0
2025-11-25 01:04:20,25,1,4,TX2_6,3,1,0,0,0,0
2025-11-25 01:09:20,25,1,9,TX2_6,3,1,0,0,0,0
2025-11-25 01:14:20,25,1,14,TX2_6,3,1,0,0,0,0
